
"Exclusion Zone 1 "

"Point","Azimuth (deg)","Elevation (deg)"
48,-59.780,-5.986
49,-60.127,-6.007
50,-60.477,-6.028
51,-60.477,-5.629
52,-60.829,-5.648
53,-61.184,-5.667
54,-61.184,-5.265
55,-61.541,-5.283
56,-61.900,-5.300
57,-61.900,-4.895
58,-62.262,-4.911
59,-62.626,-4.927
60,-62.626,-4.518
61,-62.993,-4.533
62,-63.362,-4.548
63,-63.362,-4.136
64,-63.734,-4.149
65,-63.734,-3.736
66,-63.734,0.416
67,-63.362,0.414
68,-63.362,0.000

"Inclusion Zone 47 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-73.762,-5.325
2,-74.190,-5.336
3,-74.190,-4.894
4,-73.762,-4.884
5,-73.762,-5.325

"Inclusion Zone 48 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-63.362,-8.230
2,-63.734,-8.256
3,-63.734,-7.848
4,-63.362,-7.823
5,-63.362,-8.230

"Inclusion Zone 49 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-62.626,-8.579
2,-62.993,-8.607
3,-63.362,-8.635
4,-63.362,-8.230
5,-62.993,-8.203
6,-62.626,-8.177
7,-62.626,-8.579

"Inclusion Zone 50 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-61.900,-8.923
2,-62.262,-8.952
3,-62.262,-8.551
4,-61.900,-8.523
5,-61.900,-8.923

"Inclusion Zone 51 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-54.861,-8.281
2,-54.552,-8.250
3,-54.552,-8.619
4,-54.861,-8.652
5,-55.172,-8.684
6,-55.172,-8.312
7,-55.485,-8.343
8,-55.801,-8.374
9,-55.801,-7.999
10,-55.485,-7.969
11,-54.861,-7.909
12,-54.861,-8.281

"Inclusion Zone 52 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-53.941,-8.921
2,-54.245,-8.954
3,-54.552,-8.988
4,-54.552,-8.619
5,-54.245,-8.587
6,-53.941,-8.554
7,-53.941,-8.921

"Inclusion Zone 53 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-53.640,-9.251
2,-53.941,-9.286
3,-53.941,-8.921
4,-53.640,-8.887
5,-53.640,-9.251

"Inclusion Zone 54 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-49.385,-11.118
2,-49.653,-11.161
3,-49.653,-10.821
4,-49.385,-10.779
5,-49.385,-11.118

"Inclusion Zone 55 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-49.119,-11.412
2,-49.385,-11.456
3,-49.385,-11.118
4,-49.119,-11.075
5,-49.119,-11.412

"Inclusion Zone 56 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-88.610,-16.233
2,-89.073,-16.236
3,-89.536,-16.237
4,-89.536,-15.809
5,-89.073,-15.808
6,-88.610,-15.805
7,-88.610,-16.233

"Inclusion Zone 57 (Inside Exclusion Zone 6)"

"Point","Azimuth (deg)","Elevation (deg)"
1,-46.573,-12.586
2,-46.819,-12.635
3,-46.819,-12.313
4,-46.573,-12.265
5,-46.573,-12.586


