
"Exclusion Zone 1 "

"Point","Azimuth (deg)","Elevation (deg)"
5,31.585,-2.762
6,31.920,-2.752
7,31.920,-2.359
8,32.253,-2.351
9,32.253,-1.959
10,32.583,-1.952
11,32.583,-1.562
12,32.583,-1.172
13,32.911,-1.167
14,32.911,-0.778
15,32.911,0.000
16,33.237,0.000
17,33.560,0.000
18,33.560,0.386
19,33.880,0.385
20,33.880,0.770
21,33.560,0.772
22,33.560,1.159
23,33.237,1.163
24,32.911,1.167
25,32.911,1.556
26,32.911,1.945
27,32.583,1.952
28,31.585,1.974
29,31.585,2.368
30,31.585,3.549
31,31.248,3.562
32,31.248,3.957
33,30.908,3.971
34,30.565,3.985
35,30.565,4.382
36,30.565,4.778
37,30.220,4.795
38,29.873,4.812
39,29.873,5.211
40,29.873,14.551
41,30.220,14.502
42,32.253,14.206
43,32.253,13.837
44,32.583,13.788
45,32.583,13.419
46,32.911,13.372
47,32.911,13.003
48,33.237,12.956
49,33.237,12.588
50,33.560,12.542
51,33.560,12.174
52,33.560,11.804
53,33.880,11.761
54,33.880,11.392
55,34.199,11.351
56,34.515,11.309
57,34.515,10.941
58,34.515,-4.194
59,34.199,-4.210
60,32.911,-4.273
61,32.911,-3.885
62,32.583,-3.900
63,29.873,-4.013
64,29.873,-3.613
65,30.220,-3.600

"Inclusion Zone 11 (Inside Exclusion Zone 3)"

"Point","Azimuth (deg)","Elevation (deg)"
1,30.908,15.517
2,30.908,15.886
3,31.248,15.832
4,31.248,15.465
5,31.248,15.096
6,30.908,15.147
7,30.565,15.199
8,30.565,15.570
9,30.908,15.517

"Inclusion Zone 12 (Inside Exclusion Zone 3)"

"Point","Azimuth (deg)","Elevation (deg)"
1,34.199,16.052
2,38.408,15.248
3,38.408,14.909
4,38.408,13.887
5,38.123,13.940
6,34.828,14.520
7,34.828,14.876
8,34.515,14.930
9,34.515,15.286
10,34.199,15.341
11,34.199,15.697
12,33.880,15.753
13,33.880,16.109
14,34.199,16.052

"Inclusion Zone 13 (Inside Exclusion Zone 3)"

"Point","Azimuth (deg)","Elevation (deg)"
1,35.139,-11.953
2,35.139,-11.590
3,35.448,-11.547
4,35.448,-11.184
5,35.755,-11.142
6,37.835,-10.851
7,37.835,-11.204
8,38.123,-11.161
9,38.408,-11.118
10,38.408,-11.467
11,38.408,-13.887
12,38.123,-13.940
13,38.123,-13.596
14,37.835,-13.647
15,37.544,-13.699
16,37.544,-13.351
17,37.252,-13.402
18,36.957,-13.452
19,36.957,-13.101
20,36.660,-13.150
21,36.360,-13.200
22,36.360,-12.845
23,36.059,-12.893
24,35.755,-12.941
25,35.755,-12.583
26,35.448,-12.630
27,35.139,-12.677
28,35.139,-12.315
29,34.828,-12.361
30,34.828,-11.997
31,35.139,-11.953

"Inclusion Zone 14 (Inside Exclusion Zone 3)"

"Point","Azimuth (deg)","Elevation (deg)"
1,43.181,-11.342
2,43.427,-11.297
3,43.427,-11.620
4,43.670,-11.575
5,44.859,-11.349
6,44.859,-11.665
7,45.091,-11.619
8,45.549,-11.528
9,45.549,-11.839
10,45.549,-12.769
11,45.321,-12.819
12,44.151,-13.072
13,44.151,-13.387
14,43.912,-13.439
15,43.670,-13.492
16,43.670,-13.174
17,43.427,-13.226
18,43.427,-12.906
19,43.427,-12.265
20,43.181,-12.313
21,43.181,-11.990
22,43.181,-11.666
23,42.934,-11.712
24,42.934,-11.386
25,43.181,-11.342

"Inclusion Zone 15 (Inside Exclusion Zone 3)"

"Point","Azimuth (deg)","Elevation (deg)"
1,43.427,14.179
2,43.427,14.495
3,43.670,14.439
4,44.151,14.327
5,44.151,14.639
6,44.389,14.583
7,44.859,14.470
8,44.859,14.778
9,45.091,14.721
10,45.549,14.607
11,45.549,14.303
12,45.549,13.691
13,45.321,13.745
14,44.625,13.906
15,44.625,13.595
16,44.389,13.648
17,43.181,13.916
18,43.181,14.234
19,43.427,14.179

"Exclusion Zone 4 "

"Point","Azimuth (deg)","Elevation (deg)"
1,-134.225,35.839
2,134.000,35.729
3,134.000,35.516
4,134.000,-35.729
5,134.225,-35.839
6,-134.000,-35.729
7,-134.000,-35.516
8,-134.000,35.729
9,-134.225,35.839

"Exclusion Zone 5 "

"Point","Azimuth (deg)","Elevation (deg)"
1,136.000,-35.516
2,136.000,35.729
3,135.775,35.839
4,44.000,35.729
5,44.000,35.516
6,44.000,14.494
7,44.225,14.551
8,45.375,14.835
9,45.375,14.526
10,45.611,14.583
11,45.611,14.272
12,45.611,13.960
13,45.375,13.906
14,44.225,13.638
15,44.225,13.943
16,44.000,13.889
17,44.000,13.585
18,44.000,-11.437
19,44.225,-11.482
20,45.375,-11.711
21,45.375,-11.394
22,45.611,-11.439
23,45.611,-11.757
24,45.611,-12.706
25,45.375,-12.656
26,45.141,-12.607
27,45.141,-12.919
28,44.909,-12.869
29,44.679,-12.819
30,44.679,-13.128
31,44.451,-13.077
32,44.225,-13.026
33,44.225,-13.333
34,44.000,-13.281
35,44.000,-13.585
36,44.000,-35.729
37,44.225,-35.839
38,136.000,-35.729
39,136.000,-35.516
